Expediente,Fecha resolucion,Sala,PDF link
CFP 5048/2016,29/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5677058&tipo=corrupcion-administrativa
CFP 5048/2016,29/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5677059&tipo=corrupcion-administrativa
CFP 5048/2016,13/07/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5588686&tipo=corrupcion-administrativa
CFP 5048/2016,16/05/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5291429&tipo=corrupcion-administrativa
CFP 5048/2016,11/05/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5264415&tipo=corrupcion-administrativa
CFP 5048/2016,11/05/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5264416&tipo=corrupcion-administrativa
CFP 5048/2016,02/05/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5214070&tipo=corrupcion-administrativa
CFP 5048/2016,21/03/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5065028&tipo=corrupcion-administrativa
CFP 5048/2016,14/03/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5039895&tipo=corrupcion-administrativa
CFP 5048/2016,14/03/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5039896&tipo=corrupcion-administrativa
CFP 5048/2016,30/12/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4903062&tipo=corrupcion-administrativa
CFP 5048/2016,29/12/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4905289&tipo=corrupcion-administrativa
CFP 5048/2016,29/12/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4905215&tipo=corrupcion-administrativa
CFP 5048/2016,15/12/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4859608&tipo=corrupcion-administrativa
CFP 3017/2013,31/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5686619&tipo=corrupcion-administrativa
CFP 3017/2013,31/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5686615&tipo=corrupcion-administrativa
CFP 3017/2013,31/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5686548&tipo=corrupcion-administrativa
CFP 3017/2013,09/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5596347&tipo=corrupcion-administrativa
CFP 3017/2013,09/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5596490&tipo=corrupcion-administrativa
CFP 3017/2013,09/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5596440&tipo=corrupcion-administrativa
